cluster1,2_F,2_S,2_R
0,4.818181818181818,4.818181818181818,1.0
1,4.894736842105263,4.894736842105263,4.7368421052631575
2,2.6666666666666665,3.3333333333333335,2.3333333333333335
3,0.0,0.0,5.0
