,date,time,ans,InputID,lv,asg,stp,ope1,slot,card,slot1,slot2,slot3,session,check,jdg,C.S,ST.S,N.S,SS.S,O.S,validity,trial,amount,sentence,type0,type2,formula_order,story,type,story_st,relation_st,formula_st,q,counts,strategy
4,2017/10/30,14:32:56,321,31710071,1,1,3,CHECK,0,0,1,2,3,1509341558,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,1_1,15,F*
10,2017/10/30,14:33:11,321,31710071,1,2,3,CHECK,0,0,1,2,3,1509341576,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,1_2,15,F*
16,2017/10/30,14:33:26,321,31710071,1,3,3,CHECK,0,0,1,2,3,1509341592,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,1_3,15,F*
22,2017/10/30,14:33:40,321,31710071,1,4,3,CHECK,0,0,1,2,3,1509341606,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,1_4,15,F*
28,2017/10/30,14:33:51,321,31710071,1,5,3,CHECK,0,0,1,2,3,1509341620,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,1_5,15,F*
34,2017/10/30,14:34:27,321,31710071,2,1,3,CHECK,0,0,1,2,3,1509341636,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,2_1,15,F*
40,2017/10/30,14:34:42,321,31710071,2,2,3,CHECK,0,0,1,2,3,1509341667,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,2_2,15,F*
46,2017/10/30,14:34:55,321,31710071,2,3,3,CHECK,0,0,1,2,3,1509341683,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,2_3,15,F*
52,2017/10/30,14:35:07,321,31710071,2,4,3,CHECK,0,0,1,2,3,1509341695,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,2_4,15,F*
58,2017/10/30,14:35:23,321,31710071,2,5,3,CHECK,0,0,1,2,3,1509341707,1,s,1,1,1,1,1,5,1,,,,,,,,,,,2_5,15,n
79,2017/10/30,14:38:40,321,31710071,3,1,15,CHECK,0,0,1,2,3,1509341777,4,s,1,1,1,1,1,5,1,,,,,,,,,r,,3_1,15,r
85,2017/10/30,14:38:54,321,31710071,3,2,3,CHECK,0,0,1,2,3,1509341923,1,s,1,1,1,1,1,5,1,,,,,,,,s,,,3_2,15,s
91,2017/10/30,14:39:10,321,31710071,3,3,3,CHECK,0,0,1,2,3,1509341934,1,s,1,1,1,1,1,5,1,,,,,,,,s,,,3_3,15,s
97,2017/10/30,14:39:44,321,31710071,3,4,3,CHECK,0,0,1,2,3,1509341951,1,s,1,1,1,1,1,5,1,,,,,,,,s,,,3_4,15,s
103,2017/10/30,14:39:54,321,31710071,3,5,3,CHECK,0,0,1,2,3,1509341984,1,s,1,1,1,1,1,5,1,,,,,,,,s,,,3_5,15,s
111,2017/10/30,14:45:39,321,31510207,1,1,5,CHECK,0,0,1,2,3,1509342323,1,s,1,1,1,1,1,5,1,,,,,,,,,,,1_1,15,n
117,2017/10/30,14:46:01,321,31510207,1,2,3,CHECK,0,0,1,2,3,1509342340,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,1_2,15,F*
123,2017/10/30,14:46:13,321,31510207,1,3,3,CHECK,0,0,1,2,3,1509342361,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,1_3,15,F*
