,date,time,ans,InputID,story_num,lv,asg,stp,ope1,slot,card,slot1,slot2,slot3,session,check,jdg,C.S,ST.S,N.S,SS.S,O.S,validity,trial,amount,sentence,type0,type2,formula_order,story,type,story_st,relation_st,formula_st,q,strategy,counts
4,2017/10/09,14:50:55,521,31710071,2,1,1,3,CHECK,0,0,1,2,5,1507528209,1,f,0,0,1,1,1,3,1,,,,,,,,,,F*,2_1_1,F*,60
14,2017/10/09,14:51:46,321,31710071,2,1,2,3,CHECK,0,0,1,2,3,1507528277,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,2_1_2,F*,60
19,2017/10/09,14:52:10,321,31710071,2,1,3,3,CHECK,0,0,1,2,3,1507528307,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,2_1_3,F*,60
24,2017/10/09,14:52:44,321,31710071,2,1,4,3,CHECK,0,0,1,2,3,1507528330,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_1_4,r,60
29,2017/10/09,14:53:09,521,31710071,2,1,5,3,CHECK,0,0,1,2,5,1507528365,1,f,0,0,1,1,1,3,1,,,,,,,,,,F*,2_1_5,F*,60
38,2017/10/09,14:53:41,321,31710071,2,2,1,3,CHECK,0,0,1,2,3,1507528396,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_2_1,r,60
43,2017/10/09,14:54:15,321,31710071,2,2,2,3,CHECK,0,0,1,2,3,1507528422,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_2_2,r,60
48,2017/10/09,14:54:28,321,31710071,2,2,3,3,CHECK,0,0,1,2,3,1507528455,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_2_3,r,60
53,2017/10/09,14:54:42,321,31710071,2,2,4,3,CHECK,0,0,1,2,3,1507528469,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_2_4,r,60
58,2017/10/09,14:54:58,321,31710071,2,2,5,3,CHECK,0,0,1,2,3,1507528483,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_2_5,r,60
65,2017/10/09,14:56:52,521,31710071,2,3,1,5,CHECK,0,0,1,2,5,1507528500,1,f,0,0,1,1,1,3,1,,,,,,,,,r,,2_3_1,r,60
80,2017/10/09,14:59:28,213,31710071,2,3,2,3,CHECK,0,0,3,1,2,1507528737,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,2_3_2,F*,60
85,2017/10/09,14:59:57,213,31710071,2,3,3,3,CHECK,0,0,3,1,2,1507528768,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,2_3_3,F*,60
90,2017/10/09,15:00:18,213,31710071,2,3,4,3,CHECK,0,0,3,1,2,1507528797,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,2_3_4,F*,60
95,2017/10/09,15:00:30,213,31710071,2,3,5,3,CHECK,0,0,3,1,2,1507528819,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,2_3_5,F*,60
109,2017/10/20,11:57:55,321,31710071,3,1,1,3,CHECK,0,0,1,2,3,1508468261,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,3_1_1,F*,60
114,2017/10/20,11:58:09,321,31710071,3,1,2,3,CHECK,0,0,1,2,3,1508468276,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,3_1_2,F*,60
119,2017/10/20,11:58:24,321,31710071,3,1,3,3,CHECK,0,0,1,2,3,1508468290,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,3_1_3,F*,60
124,2017/10/20,11:58:47,321,31710071,3,1,4,3,CHECK,0,0,1,2,3,1508468304,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,3_1_4,F*,60
129,2017/10/20,11:58:59,321,31710071,3,1,5,3,CHECK,0,0,1,2,3,1508468327,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,3_1_5,F*,60
134,2017/10/20,11:59:17,321,31710071,3,2,1,3,CHECK,0,0,1,2,3,1508468342,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,3_2_1,r,60
139,2017/10/20,11:59:32,321,31710071,3,2,2,3,CHECK,0,0,1,2,3,1508468358,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,3_2_2,r,60
144,2017/10/20,11:59:50,321,31710071,3,2,3,3,CHECK,0,0,1,2,3,1508468372,1,s,1,1,1,1,1,5,1,,,,,,,,,,,3_2_3,n,60
149,2017/10/20,12:00:10,321,31710071,3,2,4,3,CHECK,0,0,1,2,3,1508468391,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,3_2_4,r,60
154,2017/10/20,12:00:23,321,31710071,3,2,5,3,CHECK,0,0,1,2,3,1508468410,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,3_2_5,r,60
159,2017/10/20,12:01:02,451,31710071,3,3,1,3,CHECK,0,0,1,5,4,1508468426,1,f,0,0,1,1,0,2,1,,,,,,,,s,,,3_3_1,s,60
169,2017/10/20,12:01:25,321,31710071,3,3,2,3,CHECK,0,0,1,2,3,1508468473,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,3_3_2,r,60
174,2017/10/20,12:01:33,321,31710071,3,3,3,3,CHECK,0,0,1,2,3,1508468486,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,3_3_3,r,60
179,2017/10/20,12:01:47,321,31710071,3,3,4,3,CHECK,0,0,1,2,3,1508468494,1,s,1,1,1,1,1,5,1,,,,,,,,,,,3_3_4,n,60
184,2017/10/20,12:01:54,321,31710071,3,3,5,3,CHECK,0,0,1,2,3,1508468507,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,3_3_5,r,60
4,2017/10/30,14:32:56,321,31710071,4,1,1,3,CHECK,0,0,1,2,3,1509341558,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,4_1_1,F*,60
10,2017/10/30,14:33:11,321,31710071,4,1,2,3,CHECK,0,0,1,2,3,1509341576,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,4_1_2,F*,60
16,2017/10/30,14:33:26,321,31710071,4,1,3,3,CHECK,0,0,1,2,3,1509341592,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,4_1_3,F*,60
22,2017/10/30,14:33:40,321,31710071,4,1,4,3,CHECK,0,0,1,2,3,1509341606,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,4_1_4,F*,60
28,2017/10/30,14:33:51,321,31710071,4,1,5,3,CHECK,0,0,1,2,3,1509341620,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,4_1_5,F*,60
34,2017/10/30,14:34:27,321,31710071,4,2,1,3,CHECK,0,0,1,2,3,1509341636,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,4_2_1,F*,60
40,2017/10/30,14:34:42,321,31710071,4,2,2,3,CHECK,0,0,1,2,3,1509341667,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,4_2_2,F*,60
46,2017/10/30,14:34:55,321,31710071,4,2,3,3,CHECK,0,0,1,2,3,1509341683,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,4_2_3,F*,60
52,2017/10/30,14:35:07,321,31710071,4,2,4,3,CHECK,0,0,1,2,3,1509341695,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,4_2_4,F*,60
58,2017/10/30,14:35:23,321,31710071,4,2,5,3,CHECK,0,0,1,2,3,1509341707,1,s,1,1,1,1,1,5,1,,,,,,,,,,,4_2_5,n,60
64,2017/10/30,14:37:09,352,31710071,4,3,1,3,CHECK,0,0,2,5,3,1509341777,1,f,0,0,1,0,0,1,1,,,,,,,,,r,,4_3_1,r,60
85,2017/10/30,14:38:54,321,31710071,4,3,2,3,CHECK,0,0,1,2,3,1509341923,1,s,1,1,1,1,1,5,1,,,,,,,,s,,,4_3_2,s,60
91,2017/10/30,14:39:10,321,31710071,4,3,3,3,CHECK,0,0,1,2,3,1509341934,1,s,1,1,1,1,1,5,1,,,,,,,,s,,,4_3_3,s,60
97,2017/10/30,14:39:44,321,31710071,4,3,4,3,CHECK,0,0,1,2,3,1509341951,1,s,1,1,1,1,1,5,1,,,,,,,,s,,,4_3_4,s,60
103,2017/10/30,14:39:54,321,31710071,4,3,5,3,CHECK,0,0,1,2,3,1509341984,1,s,1,1,1,1,1,5,1,,,,,,,,s,,,4_3_5,s,60
4,2017/11/06,14:41:22,321,31710071,5,1,1,3,CHECK,0,0,1,2,3,1509946804,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,5_1_1,F*,60
12,2017/11/06,14:41:44,321,31710071,5,1,2,5,CHECK,0,0,1,2,3,1509946883,1,s,1,1,1,1,1,5,1,,,,,,,,,,,5_1_2,n,60
18,2017/11/06,14:42:14,321,31710071,5,1,3,3,CHECK,0,0,1,2,3,1509946905,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,5_1_3,F*,60
24,2017/11/06,14:42:27,321,31710071,5,1,4,3,CHECK,0,0,1,2,3,1509946934,1,s,1,1,1,1,1,5,1,,,,,,,,,,,5_1_4,n,60
30,2017/11/06,14:42:37,321,31710071,5,1,5,3,CHECK,0,0,1,2,3,1509946947,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,5_1_5,r,60
36,2017/11/06,14:43:05,321,31710071,5,2,1,3,CHECK,0,0,1,2,3,1509946959,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,5_2_1,r,60
42,2017/11/06,14:43:28,321,31710071,5,2,2,3,CHECK,0,0,1,2,3,1509946985,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,5_2_2,r,60
48,2017/11/06,14:43:37,321,31710071,5,2,3,3,CHECK,0,0,1,2,3,1509947008,1,s,1,1,1,1,1,5,1,,,,,,,,,,,5_2_3,n,60
54,2017/11/06,14:43:45,321,31710071,5,2,4,3,CHECK,0,0,1,2,3,1509947018,1,s,1,1,1,1,1,5,1,,,,,,,,,,,5_2_4,n,60
60,2017/11/06,14:44:08,321,31710071,5,2,5,3,CHECK,0,0,1,2,3,1509947025,1,s,1,1,1,1,1,5,1,,,,,,,,,,,5_2_5,n,60
68,2017/11/06,14:46:36,321,31710071,5,3,1,5,CHECK,0,0,1,2,3,1509947051,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,5_3_1,r,60
74,2017/11/06,14:47:06,321,31710071,5,3,2,3,CHECK,0,0,1,2,3,1509947210,1,s,1,1,1,1,1,5,1,,,,,,,,,,,5_3_2,n,60
80,2017/11/06,14:47:16,321,31710071,5,3,3,3,CHECK,0,0,1,2,3,1509947227,1,s,1,1,1,1,1,5,1,,,,,,,,,,,5_3_3,n,60
86,2017/11/06,14:47:36,321,31710071,5,3,4,3,CHECK,0,0,1,2,3,1509947236,1,s,1,1,1,1,1,5,1,,,,,,,,,,,5_3_4,n,60
92,2017/11/06,14:47:43,321,31710071,5,3,5,3,CHECK,0,0,1,2,3,1509947256,1,s,1,1,1,1,1,5,1,,,,,,,,,,,5_3_5,n,60
100,2017/10/09,15:04:29,321,31710061,2,1,1,3,CHECK,0,0,1,2,3,1507529057,1,s,1,1,1,1,1,5,1,,,,,,,,,,,2_1_1,n,45
107,2017/10/09,15:04:48,521,31710061,2,1,2,5,CHECK,0,0,1,2,5,1507529071,1,f,0,0,1,1,1,3,1,,,,,,,,,,,2_1_2,n,45
117,2017/10/09,15:05:06,321,31710061,2,1,3,5,CHECK,0,0,1,2,3,1507529096,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,2_1_3,F*,45
122,2017/10/09,15:05:21,321,31710061,2,1,4,3,CHECK,0,0,1,2,3,1507529107,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_1_4,r,45
129,2017/10/09,15:05:36,321,31710061,2,1,5,5,CHECK,0,0,1,2,3,1507529122,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,2_1_5,F*,45
136,2017/10/09,15:05:57,321,31710061,2,2,1,5,CHECK,0,0,1,2,3,1507529138,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,2_2_1,F*,45
141,2017/10/09,15:06:09,321,31710061,2,2,2,3,CHECK,0,0,1,2,3,1507529157,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,2_2_2,F*,45
148,2017/10/09,15:06:27,321,31710061,2,2,3,5,CHECK,0,0,1,2,3,1507529170,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_2_3,r,45
155,2017/10/09,15:06:43,321,31710061,2,2,4,5,CHECK,0,0,1,2,3,1507529187,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_2_4,r,45
166,2017/10/09,15:07:02,321,31710061,2,2,5,9,CHECK,0,0,1,2,3,1507529204,1,s,1,1,1,1,1,5,1,,,,,,,,,,,2_2_5,n,45
177,2017/10/09,15:07:55,132,31710061,2,3,1,9,CHECK,0,0,2,3,1,1507529225,1,s,1,1,1,1,1,5,1,,,,,,,,,,,2_3_1,n,45
186,2017/10/09,15:08:25,312,31710061,2,3,2,7,CHECK,0,0,2,1,3,1507529276,1,s,1,1,1,1,1,5,1,,,,,,,,,,,2_3_2,n,45
195,2017/10/09,15:08:45,132,31710061,2,3,3,7,CHECK,0,0,2,3,1,1507529307,1,s,1,1,1,1,1,5,1,,,,,,,,,,,2_3_3,n,45
200,2017/10/09,15:08:57,312,31710061,2,3,4,3,CHECK,0,0,2,1,3,1507529326,1,s,1,1,1,1,1,5,1,,,,,,,,s,,,2_3_4,s,45
213,2017/10/09,15:09:19,152,31710061,2,3,5,11,CHECK,0,0,2,5,1,1507529338,1,f,0,0,1,1,1,3,1,,,,,,,,,,,2_3_5,n,45
244,2017/10/16,14:47:43,321,31710061,3,1,1,3,CHECK,0,0,1,2,3,1508132855,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,3_1_1,F*,45
251,2017/10/16,14:47:59,321,31710061,3,1,2,5,CHECK,0,0,1,2,3,1508132864,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,3_1_2,F*,45
256,2017/10/16,14:48:12,321,31710061,3,1,3,3,CHECK,0,0,1,2,3,1508132880,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,3_1_3,F*,45
263,2017/10/16,14:48:37,321,31710061,3,1,4,5,CHECK,0,0,1,2,3,1508132893,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,3_1_4,F*,45
270,2017/10/16,14:48:53,321,31710061,3,1,5,5,CHECK,0,0,1,2,3,1508132917,1,s,1,1,1,1,1,5,1,,,,,,,,,,,3_1_5,n,45
279,2017/10/16,14:49:30,321,31710061,3,2,1,7,CHECK,0,0,1,2,3,1508132944,1,s,1,1,1,1,1,5,1,,,,,,,,,,,3_2_1,n,45
284,2017/10/16,14:49:44,321,31710061,3,2,2,3,CHECK,0,0,1,2,3,1508132971,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,3_2_2,F*,45
295,2017/10/16,14:50:12,321,31710061,3,2,3,9,CHECK,0,0,1,2,3,1508132985,1,s,1,1,1,1,1,5,1,,,,,,,,,,,3_2_3,n,45
300,2017/10/16,14:50:29,321,31710061,3,2,4,3,CHECK,0,0,1,2,3,1508133013,1,s,1,1,1,1,1,5,1,,,,,,,,,,,3_2_4,n,45
305,2017/10/16,14:50:44,321,31710061,3,2,5,3,CHECK,0,0,1,2,3,1508133030,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,3_2_5,F*,45
313,2017/10/16,14:51:05,123,31710061,3,3,1,5,CHECK,0,0,3,2,1,1508133046,1,f,0,1,1,1,1,4,1,,,,,,,,,,,3_3_1,n,45
357,2017/10/16,14:52:21,231,31710061,3,3,2,9,CHECK,0,0,1,3,2,1508133120,1,f,0,1,1,1,1,4,1,,,,,,,,,,,3_3_2,n,45
424,2017/10/16,14:55:05,321,31710061,3,3,3,3,CHECK,0,0,1,2,3,1508133298,1,s,1,1,1,1,1,5,1,,,,,,,,s,,,3_3_3,s,45
433,2017/10/16,14:55:22,321,31710061,3,3,4,7,CHECK,0,0,1,2,3,1508133306,1,s,1,1,1,1,1,5,1,,,,,,,,,,,3_3_4,n,45
440,2017/10/16,14:55:33,321,31710061,3,3,5,5,CHECK,0,0,1,2,3,1508133322,1,s,1,1,1,1,1,5,1,,,,,,,,,,,3_3_5,n,45
196,2017/11/06,14:43:24,321,31710061,5,1,1,7,CHECK,0,0,1,2,3,1509946968,1,s,1,1,1,1,1,5,1,,,,,,,,,,,5_1_1,n,45
202,2017/11/06,14:43:37,321,31710061,5,1,2,3,CHECK,0,0,1,2,3,1509947004,1,s,1,1,1,1,1,5,1,,,,,,,,,,,5_1_2,n,45
208,2017/11/06,14:43:49,321,31710061,5,1,3,3,CHECK,0,0,1,2,3,1509947018,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,5_1_3,r,45
214,2017/11/06,14:44:01,321,31710061,5,1,4,3,CHECK,0,0,1,2,3,1509947030,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,5_1_4,r,45
220,2017/11/06,14:44:11,321,31710061,5,1,5,3,CHECK,0,0,1,2,3,1509947042,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,5_1_5,F*,45
226,2017/11/06,14:44:26,321,31710061,5,2,1,3,CHECK,0,0,1,2,3,1509947053,1,s,1,1,1,1,1,5,1,,,,,,,,,,,5_2_1,n,45
234,2017/11/06,14:44:42,321,31710061,5,2,2,5,CHECK,0,0,1,2,3,1509947066,1,s,1,1,1,1,1,5,1,,,,,,,,,,,5_2_2,n,45
240,2017/11/06,14:44:48,321,31710061,5,2,3,3,CHECK,0,0,1,2,3,1509947083,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,5_2_3,F*,45
246,2017/11/06,14:44:58,321,31710061,5,2,4,3,CHECK,0,0,1,2,3,1509947089,1,s,1,1,1,1,1,5,1,,,,,,,,,,,5_2_4,n,45
252,2017/11/06,14:45:07,321,31710061,5,2,5,3,CHECK,0,0,1,2,3,1509947099,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,5_2_5,F*,45
276,2017/11/06,14:45:44,213,31710061,5,3,1,21,CHECK,0,0,3,1,2,1509947109,1,s,1,1,1,1,1,5,1,,,,,,,,,,,5_3_1,n,45
288,2017/11/06,14:46:02,213,31710061,5,3,2,9,CHECK,0,0,3,1,2,1509947144,1,s,1,1,1,1,1,5,1,,,,,,,,s,,,5_3_2,s,45
294,2017/11/06,14:46:09,213,31710061,5,3,3,3,CHECK,0,0,3,1,2,1509947162,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,5_3_3,F*,45
300,2017/11/06,14:46:17,253,31710061,5,3,4,3,CHECK,0,0,3,5,2,1509947170,1,f,0,0,1,0,0,1,1,,,,,,,,,,F*,5_3_4,F*,45
309,2017/11/06,14:46:44,253,31710061,5,3,5,3,CHECK,0,0,3,5,2,1509947185,1,f,0,0,1,0,0,1,1,,,,,,,,,r,,5_3_5,r,45
221,2017/10/09,15:41:57,326,31610012,2,1,1,3,CHECK,0,0,6,2,3,1507531309,1,f,0,1,1,1,0,3,1,,,,,,,,,,F*,2_1_1,F*,15
229,2017/10/09,15:42:13,341,31610012,2,1,2,3,CHECK,0,0,1,4,3,1507531324,1,f,0,1,1,1,0,3,1,,,,,,,,,,F*,2_1_2,F*,15
239,2017/10/09,15:42:27,321,31610012,2,1,3,5,CHECK,0,0,1,2,3,1507531338,1,s,1,1,1,1,1,5,1,,,,,,,,,,,2_1_3,n,15
244,2017/10/09,15:42:34,326,31610012,2,1,4,3,CHECK,0,0,6,2,3,1507531348,1,f,0,1,1,1,0,3,1,,,,,,,,,,F*,2_1_4,F*,15
256,2017/10/09,15:42:55,321,31610012,2,1,5,5,CHECK,0,0,1,2,3,1507531365,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,2_1_5,F*,15
263,2017/10/09,15:43:14,526,31610012,2,2,1,5,CHECK,0,0,6,2,5,1507531378,1,f,0,0,1,1,0,2,1,,,,,,,,,,F*,2_2_1,F*,15
278,2017/10/09,15:44:34,321,31610012,2,2,2,7,CHECK,0,0,1,2,3,1507531422,1,s,1,1,1,1,1,5,1,,,,,,,,,,,2_2_2,n,15
283,2017/10/09,15:44:47,321,31610012,2,2,3,3,CHECK,0,0,1,2,3,1507531475,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,2_2_3,F*,15
290,2017/10/09,15:44:58,321,31610012,2,2,4,5,CHECK,0,0,1,2,3,1507531487,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,2_2_4,F*,15
295,2017/10/09,15:45:06,321,31610012,2,2,5,3,CHECK,0,0,1,2,3,1507531499,1,s,1,1,1,1,1,5,1,,,,,,,,s,,,2_2_5,s,15
302,2017/10/09,15:45:34,125,31610012,2,3,1,5,CHECK,0,0,5,2,1,1507531509,1,f,0,0,1,1,1,3,1,,,,,,,,,r,,2_3_1,r,15
329,2017/10/09,15:47:00,643,31610012,2,3,2,5,CHECK,0,0,3,4,6,1507531611,1,f,0,1,1,1,0,3,1,,,,,,,,,r,,2_3_2,r,15
339,2017/10/09,15:47:19,123,31610012,2,3,3,3,CHECK,0,0,3,2,1,1507531628,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_3_3,r,15
344,2017/10/09,15:47:30,143,31610012,2,3,4,3,CHECK,0,0,3,4,1,1507531640,1,f,0,1,1,1,0,3,1,,,,,,,,,r,,2_3_4,r,15
352,2017/10/09,15:47:44,123,31610012,2,3,5,3,CHECK,0,0,3,2,1,1507531655,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_3_5,r,15
359,2017/10/09,15:03:55,321,31610158,2,1,1,5,CHECK,0,0,1,2,3,1507529022,1,s,1,1,1,1,1,5,1,,,,,,,,,,,2_1_1,n,45
366,2017/10/09,15:04:15,321,31610158,2,1,2,5,CHECK,0,0,1,2,3,1507529037,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,2_1_2,F*,45
375,2017/10/09,15:04:40,321,31610158,2,1,3,7,CHECK,0,0,1,2,3,1507529055,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_1_3,r,45
380,2017/10/09,15:04:54,321,31610158,2,1,4,3,CHECK,0,0,1,2,3,1507529080,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_1_4,r,45
385,2017/10/09,15:05:10,321,31610158,2,1,5,3,CHECK,0,0,1,2,3,1507529095,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_1_5,r,45
392,2017/10/09,15:05:38,321,31610158,2,2,1,5,CHECK,0,0,1,2,3,1507529114,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_2_1,r,45
397,2017/10/09,15:05:57,321,31610158,2,2,2,3,CHECK,0,0,1,2,3,1507529139,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_2_2,r,45
402,2017/10/09,15:06:11,321,31610158,2,2,3,3,CHECK,0,0,1,2,3,1507529157,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_2_3,r,45
407,2017/10/09,15:06:23,321,31610158,2,2,4,3,CHECK,0,0,1,2,3,1507529171,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_2_4,r,45
412,2017/10/09,15:06:36,321,31610158,2,2,5,3,CHECK,0,0,1,2,3,1507529184,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_2_5,r,45
421,2017/10/09,15:07:22,312,31610158,2,3,1,7,CHECK,0,0,2,1,3,1507529201,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_3_1,r,45
426,2017/10/09,15:07:41,321,31610158,2,3,2,3,CHECK,0,0,1,2,3,1507529242,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_3_2,r,45
431,2017/10/09,15:08:01,321,31610158,2,3,3,3,CHECK,0,0,1,2,3,1507529262,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_3_3,r,45
438,2017/10/09,15:08:19,321,31610158,2,3,4,5,CHECK,0,0,1,2,3,1507529282,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_3_4,r,45
443,2017/10/09,15:08:32,321,31610158,2,3,5,3,CHECK,0,0,1,2,3,1507529300,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_3_5,r,45
1180,2017/10/30,14:15:43,321,31610158,4,1,1,3,CHECK,0,0,1,2,3,1509340528,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,4_1_1,F*,45
1186,2017/10/30,14:16:01,321,31610158,4,1,2,3,CHECK,0,0,1,2,3,1509340543,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,4_1_2,F*,45
1194,2017/10/30,14:16:16,321,31610158,4,1,3,5,CHECK,0,0,1,2,3,1509340561,1,s,1,1,1,1,1,5,1,,,,,,,,,,,4_1_3,n,45
1200,2017/10/30,14:16:33,321,31610158,4,1,4,3,CHECK,0,0,1,2,3,1509340576,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,4_1_4,r,45
1208,2017/10/30,14:16:49,321,31610158,4,1,5,5,CHECK,0,0,1,2,3,1509340593,1,s,1,1,1,1,1,5,1,,,,,,,,,,,4_1_5,n,45
1214,2017/10/30,14:17:12,321,31610158,4,2,1,3,CHECK,0,0,1,2,3,1509340612,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,4_2_1,F*,45
1220,2017/10/30,14:17:26,321,31610158,4,2,2,3,CHECK,0,0,1,2,3,1509340633,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,4_2_2,F*,45
1230,2017/10/30,14:17:50,321,31610158,4,2,3,7,CHECK,0,0,1,2,3,1509340646,1,s,1,1,1,1,1,5,1,,,,,,,,,,,4_2_3,n,45
1236,2017/10/30,14:18:04,321,31610158,4,2,4,3,CHECK,0,0,1,2,3,1509340671,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,4_2_4,F*,45
1242,2017/10/30,14:18:20,321,31610158,4,2,5,3,CHECK,0,0,1,2,3,1509340684,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,4_2_5,F*,45
1248,2017/10/30,14:51:10,543,31610158,4,3,1,3,CHECK,0,0,3,4,5,1509342383,1,f,0,0,1,1,1,3,1,,,,,,,,,,,4_3_1,n,45
1272,2017/10/30,14:52:40,341,31610158,4,3,2,5,CHECK,0,0,1,4,3,1509342742,1,f,0,0,1,0,1,2,1,,,,,,,,,,,4_3_2,n,45
1281,2017/10/30,14:53:05,351,31610158,4,3,3,3,CHECK,0,0,1,5,3,1509342771,1,f,0,0,0,1,1,2,1,,,,,,,,,,,4_3_3,n,45
1301,2017/10/30,14:53:56,341,31610158,4,3,4,3,CHECK,0,0,1,4,3,1509342819,1,f,0,0,1,0,1,2,1,,,,,,,,,,,4_3_4,n,45
1310,2017/10/30,14:54:18,341,31610158,4,3,5,3,CHECK,0,0,1,4,3,1509342843,1,f,0,0,1,0,1,2,1,,,,,,,,,,,4_3_5,n,45
714,2017/11/06,14:47:49,641,31610158,5,1,1,3,CHECK,0,0,1,4,6,1509947233,1,f,0,0,1,0,0,1,1,,,,,,,,,,F*,5_1_1,F*,45
725,2017/11/06,14:48:37,321,31610158,5,1,2,3,CHECK,0,0,1,2,3,1509947284,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,5_1_2,F*,45
731,2017/11/06,14:48:50,321,31610158,5,1,3,3,CHECK,0,0,1,2,3,1509947317,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,5_1_3,F*,45
739,2017/11/06,14:49:07,321,31610158,5,1,4,5,CHECK,0,0,1,2,3,1509947330,1,s,1,1,1,1,1,5,1,,,,,,,,,,,5_1_4,n,45
745,2017/11/06,14:49:23,321,31610158,5,1,5,3,CHECK,0,0,1,2,3,1509947348,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,5_1_5,F*,45
751,2017/11/06,14:49:43,631,31610158,5,2,1,3,CHECK,0,0,1,3,6,1509947367,1,f,0,1,0,1,0,2,1,,,,,,,,,,,5_2_1,n,45
